county,graduation_rate,school_county_funding
Adair County,95.0,31371728
Allen County,94.2,35386905
Anderson County,96.1,41308635
Ashland Independent,92.3,42948277
Augusta Independent,78.9,4008960
Ballard County,91.6,15732690
Barbourville Independent,95.9,9129322
Bardstown Independent,94.3,35670491
Barren County,86.0,68160030
Bath County,93.3,29496953
Beechwood Independent,94.5,17741720
Bell County,96.6,39887857
Bellevue Independent,94.4,9676353
Berea Independent,94.1,15829551
Boone County,95.0,276211064
Bourbon County,87.8,34013744
Bowling Green Independent,94.5,61302737
Boyd County,95.3,43226987
Boyle County,97.1,44525132
Bracken County,92.9,14136246
Breathitt County,89.9,24574821
Breckinridge County,82.3,40972565
Bullitt County,85.9,161800981
Burgin Independent,92.1,6443097
Butler County,91.2,26128376
Caldwell County,93.8,26079746
Calloway County,95.6,33662792
Campbell County,96.3,63650420
Campbellsville Independent,95.2,15710083
Carlisle County,90.0,10742528
Carroll County,87.5,32103987
Carter County,97.5,49892755
Casey County,88.9,29675949
Caverna Independent,83.5,9510034
Christian County,91.9,97884625
Clark County,96.9,85610395
Clay County,89.0,40533220
Clinton County,93.9,21885053
Cloverport Independent,95.0,4979929
Corbin Independent,97.5,45210200
Covington Independent,91.3,62065894
Crittenden County,88.1,15318577
Cumberland County,95.5,12808798
Danville Independent,85.0,36691685
Daviess County,91.3,148386117
Dawson Springs Independent,93.5,7387602
Dayton Independent,86.7,12169248
Edmonson County,92.4,21294324
Elizabethtown Independent,95.6,29396339
Elliott County,91.4,12798021
Eminence Independent,87.3,11055665
Erlanger-Elsmere Independent,95.0,33756284
Estill County,94.4,33348943
Fairview Independent,88.0,8183816
Fayette County,89.4,607492734
Fleming County,95.4,28631355
Floyd County,96.3,76031297
Fort Thomas Independent,97.0,44498225
Frankfort Independent,91.6,12280789
Franklin County,90.9,89643453
Fulton County,96.0,7765980
Fulton Independent,60.9,5921935
Gallatin County,89.0,21637982
Garrard County,89.9,34481562
Glasgow Independent,95.0,29810693
Grant County,83.3,43385446
Graves County,94.1,48189652
Grayson County,91.0,47972409
Green County,93.7,19917985
Greenup County,86.9,32793176
Hancock County,93.2,23927117
Hardin County,94.4,174226700
Harlan County,94.8,48309510
Harlan Independent,93.2,9130667
Harrison County,95.5,33296444
Hart County,97.6,42726372
Hazard Independent,94.1,12783084
Henderson County,94.8,89907077
Henry County,93.6,25079575
Hickman County,90.1,10651251
Hopkins County,91.8,75444472
Jackson County,91.3,28721723
Jackson Independent,76.9,4299462
Jefferson County,88.5,1533061965
Jenkins Independent,78.4,6912269
Jessamine County,94.4,105779102
Johnson County,96.0,41340474
Kenton County,93.9,180502393
Knott County,94.5,28412139
Knox County,91.8,58299732
LaRue County,94.5,28891203
Laurel County,86.1,102582599
Lawrence County,95.8,29240346
Lee County,92.5,10729973
Leslie County,96.8,22043677
Letcher County,96.2,38714691
Lewis County,96.0,35234369
Lincoln County,90.1,44574089
Livingston County,91.9,17129833
Logan County,83.6,39506692
Ludlow Independent,95.2,10308389
Lyon County,96.2,10416092
Madison County,91.6,133470356
Magoffin County,94.2,31765030
Marion County,95.5,38509749
Marshall County,96.3,74806903
Martin County,92.5,38805029
Mason County,93.2,35708302
Mayfield Independent,94.6,22509704
McCracken County,94.9,83216001
McCreary County,94.5,35128242
McLean County,93.0,17212450
Meade County,94.1,67327115
Menifee County,92.3,13997526
Mercer County,95.4,39216005
Metcalfe County,89.3,20931846
Middlesboro Independent,91.6,16838049
Monroe County,96.2,25142251
Montgomery County,94.3,53011339
Morgan County,95.0,43571072
Muhlenberg County,91.1,60941465
Murray Independent,94.1,28504868
Nelson County,94.6,54646695
Newport Independent,92.2,29560831
Nicholas County,92.3,19722043
Ohio County,94.6,45487244
Oldham County,96.9,155310685
Owen County,85.2,25462294
Owensboro Independent,92.3,71896300
Owsley County,88.6,13669044
Paducah Independent,80.0,50515426
Paintsville Independent,97.0,11695882
Paris Independent,95.1,9063766
Pendleton County,97.6,27503283
Perry County,96.7,52277323
Pike County,91.1,115003750
Pikeville Independent,95.5,15227333
Pineville Independent,92.3,6441579
Powell County,88.8,26064780
Pulaski County,96.5,97064007
Raceland-Worthington Independent,95.3,19785158
Robertson County,75.2,8553720
Rockcastle County,95.9,35652385
Rowan County,94.5,38733986
Russell County,97.0,38075444
Russell Independent,96.4,26202924
Russellville Independent,86.1,15544398
Scott County,92.8,167556614
Shelby County,90.6,106811842
Simpson County,96.3,36489880
Somerset Independent,80.7,25340937
Spencer County,97.3,36291277
Taylor County,97.5,32638827
Todd County,93.1,22549452
Trigg County,93.8,24346677
Trimble County,91.6,14821242
Union County,94.7,26461940
Walton-Verona Independent,95.4,27496117
Warren County,97.2,205474284
Washington County,96.4,21783119
Wayne County,93.8,44962278
Webster County,85.3,25993763
Whitley County,95.0,53253427
Williamsburg Independent,85.4,11860660
Williamstown Independent,93.9,11450440
Wolfe County,95.2,17947935
Woodford County,96.5,48064698
