county,graduation_rate,school_county_funding
Adair County,95.0,13430
Allen County,94.2,11907
Anderson County,96.1,12590
Ashland Independent,92.3,15612
Augusta Independent,78.9,17661
Ballard County,91.6,13447
Barbourville Independent,95.9,15579
Bardstown Independent,94.3,21514
Barren County,86.0,17481
Bath County,93.3,17600
Beechwood Independent,94.5,13669
Bell County,96.6,18718
Bellevue Independent,94.4,13458
Berea Independent,94.1,15735
Boone County,95.0,15668
Bourbon County,87.8,12840
Bowling Green Independent,94.5,18212
Boyd County,95.3,16374
Boyle County,97.1,15772
Bracken County,92.9,12910
Breathitt County,89.9,16394
Breckinridge County,82.3,14659
Bullitt County,85.9,13102
Burgin Independent,92.1,13043
Butler County,91.2,12897
Caldwell County,93.8,15441
Calloway County,95.6,13802
Campbell County,96.3,13894
Campbellsville Independent,95.2,17873
Carlisle County,90.0,15868
Carroll County,87.5,20002
Carter County,97.5,12712
Casey County,88.9,14526
Caverna Independent,83.5,14237
Christian County,91.9,12717
Clark County,96.9,18027
Clay County,89.0,18087
Clinton County,93.9,14629
Cloverport Independent,95.0,13036
Corbin Independent,97.5,16579
Covington Independent,91.3,29499
Crittenden County,88.1,16142
Cumberland County,95.5,15470
Danville Independent,85.0,21357
Daviess County,91.3,17560
Dawson Springs Independent,93.5,11993
Dayton Independent,86.7,17261
Edmonson County,92.4,12615
Elizabethtown Independent,95.6,12803
Elliott County,91.4,13317
Eminence Independent,87.3,15907
Erlanger-Elsmere Independent,95.0,17014
Estill County,94.4,16894
Fairview Independent,88.0,10546
Fayette County,89.4,8251
Fleming County,95.4,13122
Floyd County,96.3,15273
Fort Thomas Independent,97.0,14988
Frankfort Independent,91.6,22492
Franklin County,90.9,16844
Fulton County,96.0,14736
Fulton Independent,60.9,21613
Gallatin County,89.0,12804
Garrard County,89.9,14818
Glasgow Independent,95.0,16710
Grant County,83.3,12521
Graves County,94.1,13224
Grayson County,91.0,11787
Green County,93.7,12993
Greenup County,86.9,13825
Hancock County,93.2,15211
Hardin County,94.4,14240
Harlan County,94.8,15981
Harlan Independent,93.2,15608
Harrison County,95.5,14043
Hart County,97.6,21225
Hazard Independent,94.1,12669
Henderson County,94.8,16015
Henry County,93.6,11457
Hickman County,90.1,16261
Hopkins County,91.8,14497
Jackson County,91.3,15022
Jackson Independent,76.9,16536
Jefferson County,88.5,17705
Jenkins Independent,78.4,21669
Jessamine County,94.4,15560
Johnson County,96.0,12326
Kenton County,93.9,14347
Knott County,94.5,13673
Knox County,91.8,20264
LaRue County,94.5,11889
Laurel County,86.1,14001
Lawrence County,95.8,14461
Lee County,92.5,12959
Leslie County,96.8,15870
Letcher County,96.2,16774
Lewis County,96.0,16403
Lincoln County,90.1,14692
Livingston County,91.9,15322
Logan County,83.6,11782
Ludlow Independent,95.2,13763
Lyon County,96.2,13634
Madison County,91.6,12558
Magoffin County,94.2,17264
Marion County,95.5,15783
Marshall County,96.3,20322
Martin County,92.5,25446
Mason County,93.2,13883
Mayfield Independent,94.6,16503
McCracken County,94.9,15059
McCreary County,94.5,15578
McLean County,93.0,11757
Meade County,94.1,13715
Menifee County,92.3,16238
Mercer County,95.4,17095
Metcalfe County,89.3,12617
Middlesboro Independent,91.6,14927
Monroe County,96.2,14895
Montgomery County,94.3,14235
Morgan County,95.0,26343
Muhlenberg County,91.1,14734
Murray Independent,94.1,20116
Nelson County,94.6,13002
Newport Independent,92.2,23725
Nicholas County,92.3,20186
Ohio County,94.6,14304
Oldham County,96.9,12670
Owen County,85.2,13444
Owensboro Independent,92.3,19817
Owsley County,88.6,23247
Paducah Independent,80.0,18814
Paintsville Independent,97.0,17379
Paris Independent,95.1,13098
Pendleton County,97.6,12218
Perry County,96.7,19319
Pike County,91.1,15487
Pikeville Independent,95.5,15412
Pineville Independent,92.3,13823
Powell County,88.8,13184
Pulaski County,96.5,13416
Raceland-Worthington Independent,95.3,21161
Robertson County,75.2,23564
Rockcastle County,95.9,14606
Rowan County,94.5,13908
Russell County,97.0,14891
Russell Independent,96.4,13886
Russellville Independent,86.1,15654
Scott County,92.8,24515
Shelby County,90.6,14918
Simpson County,96.3,14232
Somerset Independent,80.7,14707
Spencer County,97.3,13491
Taylor County,97.5,13476
Todd County,93.1,15780
Trigg County,93.8,13496
Trimble County,91.6,15552
Union County,94.7,13257
Walton-Verona Independent,95.4,17271
Warren County,97.2,17574
Washington County,96.4,16578
Wayne County,93.8,17038
Webster County,85.3,13782
Whitley County,95.0,17290
Williamsburg Independent,85.4,16992
Williamstown Independent,93.9,16595
Wolfe County,95.2,19987
Woodford County,96.5,13471
