District,Extended School Services,Preschool                           ,Safe  Schools,Flex Focus (Combined total of the 3 programs) ,State Agency Childern (KECSAC) ,Gifted Talented,Read to Achieve,Community Education,Local Area Vocational Centers ,20% Vocational Funds,Math Achievement Fund,Total Allocation
Statute/Law,KRS 158.070,KRS 157.3175 KRS 157.226,KRS 158.442,KRS 157.3175 KRS 157.226,KRS 158.135,KRS 157.200,KRS 158.792,KRS 160.155-158,KRS 157.069,KRS 151B.025,KRS 158.844,
Budget Contact & Phone Number,Nicole Crosthwaite      502-564-1979,Nicole Crosthwaite      502-564-1979,Nicole Crosthwaite      502-564-1979,Nicole Crosthwaite      502-564-1979,"Teri Mason 
502-564-1979",Kristin Burton      502-564-1979,Leesa Unger           502-564-1979,Kristin Burton       502-564-1979,Lea Ann Lewis            502-564-4286,Lea Ann Lewis        502-564-4286,Shelby Power       502-564-1979,
MUNIS Project #,120F,135F,168F,,103F,130F,182F,110F,106F,18CF,10LF,
Adair  County," $97,609.00 "," $260,992.00 "," $51,456.00 "," $410,057.00 "," $157,720.00 "," $38,405.00 ",,,,,," $606,182.00 "
Allen County," $110,264.00 "," $359,959.00 "," $56,498.00 "," $526,721.00 ",," $38,486.00 ",," $20,000.00 ",,,," $585,207.00 "
Anchorage Ind.," $15,000.00 "," $6,744.00 "," $24,622.00 "," $46,366.00 ",," $9,645.00 ",,,,,," $56,011.00 "
Anderson County," $119,149.00 "," $479,496.00 "," $63,445.00 "," $662,090.00 ",," $38,486.00 "," $141,600.00 "," $20,000.00 ",,," $48,400.00 "," $910,576.00 "
Ashland Ind.," $114,477.00 "," $254,240.00 "," $59,287.00 "," $428,004.00 ",," $38,486.00 "," $94,400.00 ",,,," $48,400.00 "," $609,290.00 "
Augusta Ind.," $15,000.00 "," $53,952.00 "," $23,458.00 "," $92,410.00 ",," $9,645.00 "," $47,200.00 "," $20,000.00 ",,,," $169,255.00 "
Ballard County," $43,065.00 "," $239,412.00 "," $34,346.00 "," $316,823.00 ",," $19,091.00 "," $47,200.00 "," $20,000.00 ",,,," $403,114.00 "
Barbourville Ind.," $23,347.00 "," $64,068.00 "," $27,913.00 "," $115,328.00 ",," $19,091.00 ",,,,,," $134,419.00 "
Bardstown Ind.," $88,799.00 "," $461,791.00 "," $50,226.00 "," $600,816.00 ",," $23,966.00 ",," $20,000.00 ",,,," $644,782.00 "
Barren County," $169,320.00 "," $946,852.00 "," $77,949.00 "," $1,194,121.00 ",," $38,486.00 "," $330,400.00 "," $20,000.00 ",,," $48,400.00 "," $1,631,407.00 "
Bath County," $74,205.00 "," $162,866.00 "," $43,724.00 "," $280,795.00 ",," $19,505.00 ",," $20,000.00 ",,,," $320,300.00 "
Beechwood Ind.," $41,782.00 "," $70,474.00 "," $37,568.00 "," $149,824.00 "," $149,834.00 "," $19,091.00 ",,,,,," $318,749.00 "
Bell County," $103,354.00 "," $178,040.00 "," $51,226.00 "," $332,620.00 ",," $38,486.00 "," $47,200.00 "," $20,000.00 ",,,," $438,306.00 "
Bellevue Ind.," $22,426.00 "," $115,996.00 "," $27,395.00 "," $165,817.00 ",," $19,091.00 ",,,,,," $184,908.00 "
Berea Ind.," $38,963.00 "," $105,880.00 "," $33,129.00 "," $177,972.00 ",," $19,091.00 ",,,,,," $197,063.00 "
Boone County," $656,230.00 "," $1,725,595.00 "," $273,549.00 "," $2,655,374.00 "," $47,316.00 "," $68,307.00 "," $141,600.00 "," $20,000.00 ",,,," $2,932,597.00 "
Bourbon County," $96,067.00 "," $74,687.00 "," $52,966.00 "," $223,720.00 ",," $38,405.00 "," $141,600.00 "," $20,000.00 ",,,," $423,725.00 "
Bowling Green Ind.," $152,259.00 "," $385,752.00 "," $72,330.00 "," $610,341.00 "," $134,062.00 "," $38,486.00 "," $94,400.00 "," $20,000.00 ",,,," $897,289.00 "
Boyd County," $103,447.00 "," $224,403.00 "," $55,455.00 "," $383,305.00 "," $331,212.00 "," $38,486.00 ",," $20,000.00 ",,,," $773,003.00 "
Boyle County," $94,371.00 "," $411,718.00 "," $52,002.00 "," $558,091.00 "," $7,886.00 "," $38,405.00 "," $47,200.00 ",,,,," $651,582.00 "
Bracken County," $42,676.00 "," $192,369.00 "," $34,733.00 "," $269,778.00 ",," $19,091.00 ",,,,,," $288,869.00 "
Breathitt County," $67,026.00 "," $386,597.00 "," $41,640.00 "," $495,263.00 "," $157,720.00 "," $38,405.00 "," $141,600.00 ",,,,," $832,988.00 "
Breckinridge County," $99,297.00 "," $82,276.00 "," $52,309.00 "," $233,882.00 ",," $38,405.00 ",,,,,," $272,287.00 "
Bullitt County," $425,540.00 "," $1,083,571.00 "," $177,361.00 "," $1,686,472.00 "," $74,917.00 "," $68,081.00 "," $424,800.00 ",,,," $145,200.00 "," $2,399,470.00 "
Burgin Ind.," $16,649.00 "," $47,208.00 "," $25,952.00 "," $89,809.00 ",," $9,645.00 "," $47,200.00 ",,,,," $146,654.00 "
Butler County," $74,787.00 "," $171,972.00 "," $46,532.00 "," $293,291.00 "," $90,689.00 "," $38,405.00 ",," $20,000.00 ",,,," $442,385.00 "
Caldwell County," $68,520.00 "," $290,664.00 "," $43,309.00 "," $402,493.00 ",," $38,405.00 ",,,,,," $440,898.00 "
Calloway County," $108,832.00 "," $476,796.00 "," $55,780.00 "," $641,408.00 "," $27,601.00 "," $38,405.00 "," $141,600.00 ",,,," $48,400.00 "," $897,414.00 "
Campbell County/Silver Grove Ind," $180,913.00 "," $410,201.00 "," $101,875.00 "," $692,989.00 "," $43,373.00 "," $67,983.00 "," $94,400.00 "," $20,000.00 ",,," $48,400.00 "," $967,145.00 "
Campbellsville Ind.," $39,030.00 "," $166,576.00 "," $32,758.00 "," $238,364.00 ",," $19,091.00 "," $47,200.00 ",,,,," $304,655.00 "
Carlisle County," $24,601.00 "," $235,364.00 "," $28,722.00 "," $288,687.00 ",," $19,091.00 "," $47,200.00 ",,,,," $354,978.00 "
Carroll County," $70,733.00 "," $202,654.00 "," $43,733.00 "," $317,120.00 ",," $19,506.00 ",," $20,000.00 ",,,," $356,626.00 "
Carter County," $159,771.00 "," $315,954.00 "," $71,735.00 "," $547,460.00 ",," $58,239.00 "," $283,200.00 "," $20,000.00 ",,," $48,400.00 "," $957,299.00 "
Casey County," $90,063.00 "," $224,069.00 "," $48,122.00 "," $362,254.00 ",," $38,405.00 "," $47,200.00 "," $20,000.00 ",,,," $467,859.00 "
Caverna Ind.," $23,057.00 "," $174,837.00 "," $27,322.00 "," $225,216.00 ",," $19,091.00 "," $47,200.00 ",,,,," $291,507.00 "
Christian County," $316,715.00 "," $1,205,985.00 "," $122,278.00 "," $1,644,978.00 "," $201,093.00 "," $63,117.00 "," $283,200.00 "," $20,000.00 ",,,," $2,212,388.00 "
Clark County," $187,277.00 "," $949,037.00 "," $83,607.00 "," $1,219,921.00 "," $67,031.00 "," $58,239.00 "," $94,400.00 "," $20,000.00 ",,," $96,800.00 "," $1,556,391.00 "
Clay County," $118,506.00 "," $248,852.00 "," $57,136.00 "," $424,494.00 ",," $38,486.00 "," $330,400.00 "," $20,000.00 ",,,," $813,380.00 "
Clinton County," $65,855.00 "," $420,148.00 "," $40,498.00 "," $526,501.00 "," $315,440.00 "," $19,506.00 "," $47,200.00 "," $20,000.00 ",,," $48,400.00 "," $977,047.00 "
Cloverport Ind.," $15,000.00 "," $43,836.00 "," $24,470.00 "," $83,306.00 ",," $9,645.00 ",," $20,000.00 ",,,," $112,951.00 "
Corbin Ind.," $111,285.00 "," $253,906.00 "," $57,051.00 "," $422,242.00 "," $141,948.00 "," $38,405.00 "," $47,200.00 ",,,,," $649,795.00 "
Covington Ind.," $140,712.00 "," $1,285,734.00 "," $63,814.00 "," $1,490,260.00 "," $27,601.00 "," $58,239.00 "," $141,600.00 ",,,," $96,800.00 "," $1,814,500.00 "
Crittenden County," $46,779.00 "," $133,194.00 "," $36,078.00 "," $216,051.00 ",," $19,091.00 "," $47,200.00 "," $20,000.00 ",,,," $302,342.00 "
Cumberland County," $36,617.00 "," $134,542.00 "," $30,820.00 "," $201,979.00 ",," $19,091.00 "," $47,200.00 "," $20,000.00 ",,," $48,400.00 "," $336,670.00 "
Danville Ind.," $67,412.00 "," $358,104.00 "," $42,769.00 "," $468,285.00 "," $110,404.00 "," $19,506.00 "," $47,200.00 ",,,," $48,400.00 "," $693,795.00 "
Daviess County," $387,818.00 "," $1,607,422.00 "," $154,425.00 "," $2,149,665.00 "," $244,466.00 "," $68,081.00 "," $236,000.00 ",,,," $48,400.00 "," $2,746,612.00 "
Dawson Springs Ind.," $23,207.00 "," $99,136.00 "," $27,441.00 "," $149,784.00 ",," $19,091.00 ",,,,,," $168,875.00 "
Dayton Ind.," $35,236.00 "," $191,866.00 "," $30,861.00 "," $257,963.00 ",," $19,091.00 ",,,,,," $277,054.00 "
East Bernstadt Ind.," $17,757.00 "," $206,702.00 "," $25,883.00 "," $250,342.00 ",," $9,645.00 ",,,,,," $259,987.00 "
Edmonson County," $67,941.00 "," $377,664.00 "," $42,314.00 "," $487,919.00 ",," $38,405.00 ",," $20,000.00 ",,,," $546,324.00 "
Elizabethtown Ind.," $83,408.00 "," $314,940.00 "," $49,279.00 "," $447,627.00 "," $63,088.00 "," $38,405.00 ",,,,,," $549,120.00 "
Elliott County," $38,404.00 "," $24,952.00 "," $32,325.00 "," $95,681.00 ",," $19,091.00 "," $94,400.00 "," $20,000.00 ",,," $96,800.00 "," $325,972.00 "
Eminence Ind.," $29,002.00 "," $72,160.00 "," $30,981.00 "," $132,143.00 ",," $19,091.00 ",,,,,," $151,234.00 "
Erlanger-Elsmere Ind.," $92,346.00 "," $261,157.00 "," $49,824.00 "," $403,327.00 ",," $38,405.00 ",,,,,," $441,732.00 "
Estill County," $81,919.00 "," $328,770.00 "," $47,455.00 "," $458,144.00 ",," $38,406.00 "," $47,200.00 "," $20,000.00 ",,," $48,400.00 "," $612,150.00 "
Fairview Ind.," $24,962.00 "," $114,310.00 "," $28,339.00 "," $167,611.00 ",," $19,091.00 ",,,,,," $186,702.00 "
Fayette County," $1,392,373.00 "," $4,466,118.00 "," $523,078.00 "," $6,381,569.00 "," $244,466.00 "," $88,632.00 "," $1,227,200.00 "," $20,000.00 ",,," $290,400.00 "," $8,252,267.00 "
Fleming County," $81,552.00 "," $229,630.00 "," $46,717.00 "," $357,899.00 ",," $38,405.00 "," $47,200.00 ",,,,," $443,504.00 "
Floyd County," $221,390.00 "," $115,320.00 "," $86,799.00 "," $423,509.00 ",," $58,239.00 "," $188,800.00 "," $20,000.00 ",,,," $690,548.00 "
Fort Thomas Ind.," $86,905.00 "," $134,204.00 "," $58,168.00 "," $279,277.00 ",," $38,405.00 ",,,,,," $317,682.00 "
Frankfort Ind.," $28,892.00 "," $104,532.00 "," $30,244.00 "," $163,668.00 ",," $19,091.00 ",,,,,," $182,759.00 "
Franklin County," $216,583.00 "," $661,407.00 "," $96,981.00 "," $974,971.00 "," $86,746.00 "," $58,239.00 "," $188,800.00 "," $20,000.00 ",,," $48,400.00 "," $1,377,156.00 "
Fulton County," $21,584.00 "," $137,914.00 "," $27,018.00 "," $186,516.00 ",," $19,091.00 ",,,,,," $205,607.00 "
Fulton Ind.," $15,000.00 "," $62,382.00 "," $23,910.00 "," $101,292.00 ",," $19,091.00 ",," $20,000.00 ",,,," $140,383.00 "
Gallatin County," $56,076.00 "," $265,877.00 "," $38,268.00 "," $360,221.00 ",," $19,506.00 "," $47,200.00 ",,,," $48,400.00 "," $475,327.00 "
Garrard County," $92,236.00 "," $279,538.00 "," $50,948.00 "," $422,722.00 ",," $38,405.00 "," $141,600.00 "," $20,000.00 ",,,," $622,727.00 "
Glasgow Ind.," $82,551.00 "," $423,520.00 "," $47,173.00 "," $553,244.00 ",," $23,966.00 ",,,,,," $577,210.00 "
Grant County," $131,429.00 "," $371,592.00 "," $63,610.00 "," $566,631.00 ",," $38,486.00 ",," $20,000.00 ",,,," $625,117.00 "
Graves County," $146,570.00 "," $574,584.00 "," $69,993.00 "," $791,147.00 "," $82,803.00 "," $58,239.00 "," $47,200.00 "," $20,000.00 ",,,," $999,389.00 "
Grayson County," $152,983.00 "," $544,578.00 "," $70,130.00 "," $767,691.00 ",," $38,486.00 "," $141,600.00 "," $20,000.00 ",,," $145,200.00 "," $1,112,977.00 "
Green County," $58,131.00 "," $179,219.00 "," $39,246.00 "," $276,596.00 ",," $19,506.00 "," $47,200.00 ",,,,," $343,302.00 "
Greenup County," $102,392.00 "," $336,520.00 "," $53,419.00 "," $492,331.00 ",," $38,486.00 ",,,,,," $530,817.00 "
Hancock County," $55,834.00 "," $165,562.00 "," $40,199.00 "," $261,595.00 ",," $19,506.00 "," $47,200.00 "," $20,000.00 ",,,," $348,301.00 "
