SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,COOP,COOP_CODE,DEMOGRAPHIC,SUPPRESSED4YR,GRADS4YR,COHORT4YR,GRADRATE4YR,SUPPRESSED5YR,GRADS5YR,COHORT5YR,GRADRATE5YR
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ACD,N,8,14,57.1,N,11,13,84.6
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ACO,N,161,162,99.4,N,186,187,99.5
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,TST,N,169,176,96.0,N,197,200,98.5
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,SXM,N,91,98,92.9,N,102,105,97.1
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,SXF,N,78,78,100.0,N,95,95,100.0
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,MIG,Y,,4,,Y,,7,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LUP,N,105,112,93.8,N,124,126,98.4
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LUN,N,64,64,100.0,N,73,74,98.6
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LEP,Y,,3,,,,0,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,LEN,N,167,173,96.5,N,197,200,98.5
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,HOM,,,0,,Y,,3,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETW,N,151,156,96.8,N,178,180,98.9
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETP,,,0,,,,0,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETO,Y,,7,,Y,,5,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETI,,,0,,,,0,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETH,Y,,8,,N,11,11,100.0
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETB,Y,,5,,Y,,4,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ETA,,,0,,,,0,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,ELM,Y,,3,,Y,,2,
20182019,001,ADAIR,001,Adair County,010,Adair County High School,001010,001001010,210003000001,GRREC,902,CSG,N,25,31,80.6,N,27,30,90.0
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ACD,N,8,14,57.1,N,11,13,84.6
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,TST,N,169,176,96.0,N,197,200,98.5
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,SXF,N,78,78,100.0,N,95,95,100.0
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,MIG,Y,,4,,Y,,7,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LUP,N,105,112,93.8,N,124,126,98.4
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LUN,N,64,64,100.0,N,73,74,98.6
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LEP,Y,,3,,,,0,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,LEN,N,167,173,96.5,N,197,200,98.5
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,HOM,,,0,,Y,,3,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETW,N,151,156,96.8,N,178,180,98.9
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETP,,,0,,,,0,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETO,Y,,7,,Y,,5,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETI,,,0,,,,0,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETH,Y,,8,,N,11,11,100.0
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETB,Y,,5,,Y,,4,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ETA,,,0,,,,0,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ELM,Y,,3,,Y,,2,
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,CSG,N,25,31,80.6,N,27,30,90.0
20182019,001,ADAIR,001,Adair County,,---District Total---,001,,,GRREC,902,ACO,N,161,162,99.4,N,186,187,99.5
